IPTV,#genre#
广西卫视,http://183.184.48.126:9003/hls/27/index.m3u8
康巴卫视,http://182.140.125.47:808/hls/35/index.m3u8
新疆卫视,http://182.140.125.47:808/hls/55/index.m3u8
江苏卫视,http://222.214.208.34:59901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://182.140.125.47:808/hls/20/index.m3u8
江苏卫视,http://123.175.209.162:9003/hls/35/index.m3u8
江苏卫视,http://183.184.48.126:9003/hls/35/index.m3u8
江苏卫视,http://113.57.140.161:10081/newlive/live/hls/31/live.m3u8
江苏卫视4K,http://183.184.48.126:9003/hls/44/index.m3u8
江西卫视,http://222.214.208.34:59901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://182.140.125.47:808/hls/36/index.m3u8
江西卫视,http://123.175.209.162:9003/hls/36/index.m3u8
江西卫视,http://183.184.48.126:9003/hls/36/index.m3u8
河北卫视,http://222.214.208.34:59901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://182.140.125.47:808/hls/43/index.m3u8
河北卫视,http://123.175.209.162:9003/hls/29/index.m3u8
河北卫视,http://183.184.48.126:9003/hls/29/index.m3u8
河北卫视,http://113.57.140.161:10081/newlive/live/hls/33/live.m3u8
河南卫视,http://182.140.125.47:808/hls/45/index.m3u8
河南卫视,http://123.175.209.162:9003/hls/30/index.m3u8
河南卫视,http://183.184.48.126:9003/hls/30/index.m3u8
浙江卫视,http://222.214.208.34:59901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://182.140.125.47:808/hls/21/index.m3u8
浙江卫视,http://183.184.48.126:9003/hls/28/index.m3u8
浙江卫视,http://113.57.140.161:10081/newlive/live/hls/32/live.m3u8
浙江卫视4K,http://183.184.48.126:9003/hls/42/index.m3u8
海南卫视,http://123.175.209.162:9003/hls/28/index.m3u8
海峡卫视,http://113.57.140.161:10081/newlive/live/hls/27/live.m3u8
深圳卫视,http://222.214.208.34:59901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://182.140.125.47:808/hls/23/index.m3u8
深圳卫视,http://123.175.209.162:9003/hls/43/index.m3u8
深圳卫视,http://183.184.48.126:9003/hls/20/index.m3u8
深圳卫视,http://113.57.140.161:10081/newlive/live/hls/37/live.m3u8
深圳卫视4K,http://183.184.48.126:9003/hls/48/index.m3u8
湖北卫视,http://222.214.208.34:59901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://182.140.125.47:808/hls/41/index.m3u8
